Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
1,M-SWC,MSWC0001,2009,MSWC01,18.9 ,23.3 ,16.1 ,2955.7 ,1395.8 ,689.7 ,738.5 ,2292.3 ,medium_maturity,Yellow earths,,36.1 ,28.6 ,188.0 ,6.2 ,225 ,150 ,240 ,5346 ,11052 
2,M-SWC,MSWC0002,2009,MSWC01,18.7 ,23.1 ,15.9 ,2825.4 ,1315.5 ,713.3 ,691.5 ,2189.7 ,medium_maturity,Yellow earths,,26.0 ,5.8 ,269.0 ,6.1 ,225 ,150 ,240 ,5264 ,10116 
3,M-SWC,MSWC0003,2008,MSWC01,25.6 ,31.5 ,22.1 ,3816.3 ,2326.3 ,783.2 ,739.2 ,2214.7 ,medium_maturity,Limestone soils,,16.3 ,13.2 ,50.0 ,4.6 ,210 ,135 ,210 ,6994 ,9622 
4,M-SWC,MSWC0004,2009,MSWC01,25.9 ,31.8 ,22.3 ,3501.1 ,2151.1 ,621.6 ,627.0 ,1984.9 ,late_maturity,Limestone soils,,20.1 ,7.8 ,61.0 ,6.2 ,225 ,150 ,225 ,2832 ,6623 
5,M-SWC,MSWC0005,2009,MSWC01,25.9 ,31.8 ,22.3 ,3501.1 ,2151.1 ,621.6 ,627.0 ,1984.9 ,late_maturity,Limestone soils,,22.6 ,7.8 ,58.0 ,6.3 ,210 ,135 ,210 ,2606 ,6303 
6,M-SWC,MSWC0006,2009,MSWC01,25.9 ,31.8 ,22.3 ,3501.1 ,2151.1 ,621.6 ,627.0 ,1984.9 ,late_maturity,Limestone soils,,21.1 ,7.4 ,63.0 ,6.3 ,180 ,120 ,180 ,2321 ,5805 
7,M-SWC,MSWC0007,2009,MSWC01,21.3 ,26.3 ,18.0 ,2725.5 ,1445.5 ,370.3 ,539.4 ,1714.7 ,medium_maturity,Yellow earths,,66.3 ,65.0 ,126.0 ,5.1 ,255 ,150 ,210 ,8204 ,9746 
8,M-SWC,MSWC0008,2009,MSWC01,21.8 ,26.7 ,18.5 ,2786.0 ,1506.0 ,388.7 ,522.6 ,1747.4 ,medium_maturity,Yellow earths,,51.6 ,48.8 ,119.0 ,5.2 ,240 ,120 ,180 ,5846 ,7955 
9,M-SWC,MSWC0009,2009,MSWC01,21.7 ,26.7 ,18.5 ,2783.2 ,1503.2 ,391.0 ,521.2 ,1744.0 ,medium_maturity,Yellow earths,,55.0 ,8.5 ,50.0 ,4.9 ,225 ,120 ,165 ,6022 ,7724 
10,M-SWC,MSWC0010,2006,MSWC01,20.1 ,24.7 ,17.0 ,3372.2 ,1708.0 ,620.7 ,843.7 ,2534.3 ,late_maturity,Yellow earths,,49.0 ,13.0 ,140.0 ,5.1 ,153 ,50 ,108 ,5168 ,7040 
11,M-SWC,MSWC0011,2006,MSWC01,20.6 ,25.2 ,17.5 ,3316.4 ,1706.8 ,615.4 ,833.2 ,2465.6 ,late_maturity,Yellow earths,,29.5 ,14.1 ,221.0 ,7.2 ,153 ,50 ,65 ,5334 ,7539 
12,M-SWC,MSWC0012,2006,MSWC01,20.7 ,25.3 ,17.7 ,3048.7 ,1579.1 ,610.8 ,748.3 ,2253.0 ,late_maturity,Yellow earths,,37.6 ,12.7 ,120.0 ,8.0 ,207 ,120 ,216 ,1096 ,6750 
13,M-SWC,MSWC0013,2006,MSWC01,21.1 ,25.6 ,18.2 ,2703.9 ,1424.3 ,551.3 ,645.7 ,1957.5 ,late_maturity,Yellow earths,,33.3 ,11.0 ,159.0 ,7.2 ,213 ,144 ,108 ,5038 ,8592 
14,M-SWC,MSWC0014,2006,MSWC01,21.1 ,25.6 ,18.2 ,2656.2 ,1396.6 ,549.7 ,639.7 ,1931.8 ,late_maturity,Yellow earths,,56.6 ,63.4 ,136.0 ,5.2 ,56 ,129 ,126 ,2778 ,6883 
15,M-SWC,MSWC0015,2006,MSWC01,20.9 ,25.4 ,17.9 ,2774.0 ,1444.4 ,538.5 ,689.2 ,2049.0 ,late_maturity,Limestone soils,,33.3 ,11.0 ,159.0 ,7.2 ,51 ,168 ,108 ,4092 ,6980 
16,M-SWC,MSWC0016,2006,MSWC01,20.1 ,24.8 ,17.1 ,3223.9 ,1639.7 ,616.1 ,789.1 ,2403.5 ,late_maturity,Yellow earths,,23.0 ,25.2 ,191.0 ,5.8 ,158 ,101 ,129 ,2967 ,8302 
17,M-SWC,MSWC0017,2006,MSWC01,20.9 ,25.4 ,17.9 ,2921.8 ,1522.2 ,584.3 ,716.2 ,2145.2 ,late_maturity,Yellow earths,,38.9 ,25.4 ,196.0 ,7.8 ,48 ,105 ,105 ,1937 ,6778 
18,M-SWC,MSWC0018,2006,MSWC01,20.1 ,24.5 ,17.1 ,2747.7 ,1393.5 ,550.2 ,621.9 ,1991.3 ,late_maturity,Yellow earths,,40.0 ,34.5 ,132.0 ,6.1 ,152 ,129 ,126 ,3271 ,8255 
19,M-SWC,MSWC0019,2006,MSWC01,20.8 ,25.4 ,17.8 ,2999.2 ,1559.6 ,584.3 ,752.9 ,2224.8 ,late_maturity,Yellow earths,,37.6 ,15.5 ,106.0 ,6.8 ,57 ,120 ,108 ,5086 ,8366 
20,M-SWC,MSWC0020,2006,MSWC01,20.8 ,25.4 ,17.8 ,2958.0 ,1538.4 ,585.2 ,733.1 ,2190.6 ,medium_maturity,Yellow earths,,54.5 ,24.5 ,109.0 ,6.4 ,234 ,101 ,180 ,5006 ,7006 
21,M-SWC,MSWC0021,2006,MSWC01,21.1 ,25.9 ,17.7 ,3143.3 ,1664.3 ,437.9 ,638.0 ,2092.8 ,late_maturity,Yellow earths,,29.9 ,10.0 ,113.0 ,5.0 ,210 ,135 ,210 ,4314 ,7880 
22,M-SWC,MSWC0022,2007,MSWC01,21.2 ,25.9 ,18.2 ,2740.9 ,1450.9 ,748.3 ,508.7 ,1752.6 ,medium_maturity,Yellow earths,,36.4 ,12.2 ,100.0 ,5.0 ,225 ,150 ,240 ,3417 ,8133 
23,M-SWC,MSWC0023,2007,MSWC01,21.1 ,25.7 ,18.1 ,2596.9 ,1366.9 ,653.5 ,480.0 ,1667.1 ,late_maturity,Limestone soils,,20.3 ,16.2 ,155.0 ,6.4 ,210 ,135 ,210 ,4294 ,9137 
24,M-SWC,MSWC0024,2007,MSWC01,21.2 ,25.8 ,18.2 ,2733.0 ,1443.0 ,750.1 ,493.2 ,1728.4 ,late_maturity,Paddy soils,,39.9 ,18.2 ,160.0 ,7.8 ,180 ,120 ,180 ,5087 ,9476 
